tp,config,group,kind,b,tokens,kv,probe_med_ms,n_reps,spread,reference_ms,delta
8,decode,B,decode,40,0,760,11.094036046415567,2,0.0007434438365160624,11.443611438153312,-0.03054764604924022
8,decode,A,decode,40,0,1024,12.125818058848381,2,0.006491782871241608,11.593369767069817,0.045926965366958956
8,decode,B,decode,40,0,6120,11.393086402677,2,0.01622345000019261,11.614595783612458,-0.01907163925997285
8,decode,A,decode,40,0,32768,11.709916521795094,2,0.02591896757822104,12.062925845384598,-0.029263988530988844
8,decode,B,decode,40,0,49120,11.672532418742776,2,0.0018468021505532917,12.038519869747688,-0.030401366194911034
8,decode,B,decode,40,0,393200,13.947927975095809,2,0.01748861291103833,13.88294456398853,0.004680808945664207
8,decode,A,decode,40,0,524288,14.118403429165483,2,0.00930537363146436,14.697721228003502,-0.039415484199975696
8,decode,B,decode,40,0,3145720,30.53111198823899,2,0.004032216013821843,29.35542548792114,0.04005005823545671
8,decode,B,decode,40,0,5376480,50.20139995031059,2,0.2689147696688996,43.342839550462635,0.15823975703905505
8,decode,B,decode,44,0,32736,13.292180025018752,2,0.021774607732666536,12.384194069692832,0.0733181303697416
8,decode,B,decode,52,0,32760,13.461252092383802,2,0.01388428865806418,12.828544205401279,0.04932031856865957
8,decode,B,decode,60,0,32760,12.917652959004045,2,0.00492937235675912,13.20696143598501,-0.02190575617133902
8,decode,B,decode,64,0,768,10.917285573668778,2,0.019488995424966606,11.534273624420166,-0.05349171268532347
8,decode,A,decode,64,0,2048,12.575058033689857,2,0.01583944650588361,12.245334684848785,0.026926446465284408
8,decode,B,decode,64,0,6144,11.807597940787673,2,0.007555461790880793,12.486900202929974,-0.05440119253799326
8,decode,A,decode,64,0,32768,12.722659041173756,2,0.006481642262974299,13.07818666100502,-0.027184779438217833
8,decode,B,decode,64,0,49152,12.561922427266836,2,0.01391754600843111,13.017675839364529,-0.03501035190318125
8,decode,B,decode,64,0,393216,14.747251523658633,2,0.004432911224012304,14.753671362996101,-0.0004351350372063892
8,decode,A,decode,64,0,524288,15.507931006141007,2,0.007320760687881289,15.40670171380043,0.006570471358571271
8,decode,B,decode,64,0,3145728,35.356261068955064,2,0.3362701742730031,29.210321605205536,0.21040300571885068
8,decode,B,decode,64,0,5376448,59.339107014238834,2,0.2409676634254406,51.6285215858486,0.14934739929689766
8,decode,B,decode,100,0,32700,16.80706557817757,2,0.004446636503854075,16.128757915573704,0.042055790418238134
8,decode,B,decode,100,0,2516500,32.94538054615259,2,0.004780729282877463,33.08140812127131,-0.004111904022345767
8,decode,B,decode,150,0,65400,19.177205045707524,2,0.003125593828195125,18.813206371048576,0.019348040279784588
8,decode,B,decode,256,0,3072,18.077296554110944,2,0.010256139451894847,18.863421864807606,-0.04167458673886152
8,decode,A,decode,256,0,4096,17.49633706640452,2,0.01114724430726503,18.567554652690887,-0.057692981457368196
8,decode,B,decode,256,0,24576,19.022031570784748,2,0.0027076584844758847,19.933910109102726,-0.045745091320622204
8,decode,A,decode,256,0,65536,19.582589040510356,2,0.01213404475686709,20.44694311916828,-0.04227302211486195
8,decode,B,decode,256,0,98304,19.758777925744653,2,0.008288977196916854,20.949036814272404,-0.056816878937213836
8,decode,B,decode,256,0,786432,23.846405558288097,2,0.001380205486586289,24.26167204976082,-0.01711615302609842
8,decode,A,decode,256,0,1048576,25.217860005795956,2,0.004478649427784449,25.638872757554054,-0.016420876055639164
8,decode,B,decode,256,0,3145728,39.169382536783814,2,0.0604660786588734,36.7886321619153,0.06471429446983182
8,decode,B,decode,256,0,5375744,55.03157549537718,2,0.24186080606419688,26.835456629291343,1.0507038972949434
8,decode,B,decode,300,0,65400,22.715559462085366,2,0.004340413899447212,22.436300291813,0.012446756668445304
8,decode,B,decode,300,0,1258200,28.198277461342514,2,0.03014237072297163,29.75299047244484,-0.05225400830018056
8,decode,B,decode,600,0,130800,90.98983556032181,2,0.006917045262584106,34.450855124837645,1.6411488257869655
8,decode,B,decode,768,0,130560,93.52203854359686,2,0.017193157466661335,48.28784859592417,0.9367613439603681
8,prefill,A,prefill,1,184,32768,25.222978554666042,2,0.05597429557847189,23.921120911836624,0.05442293643460639
